"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P0251000";"P0239000";"Seekrieg";"lkl=pfr 280";"Naval War"
"P0252000";"P0239000";"Atlantik und Mittelmeer";"lkl=pfr 282";"Atlantic and Mediterranean Sea"
"P0253000";"P0239000";"Pazifik";"lkl=pfr 284";"Pacific"
"P0254000";"P0239000";"Luftkrieg";"lkl=pfr 285";"Aerial War"
"P0255000";"P0239000";"Europa";"lkl=pfr 287";"Europe"
"P0256000";"P0239000";"Asien und Pazifischer Raum";"lkl=pfr 289";"Asia and Pacific Region"
"P0257000";"P0239000";"Militärgeschichtliche Politische Geschichte : Einzelbeiträge";"lkl=pfr 290";"Military and Political History: Miscellaneous"
"P0258000";"P0239000";"Kriegsgefangenschaft, Internierung";"lkl=pfr? and (thm=kriegsgefang? or thm=gefang? or thm=prison? or thm=internierung? or thm=internm?)";"Captivity and internment"
"P0259000";"P0234000";"Gesellschaftliche Aspekte des Krieges";"lkl=pfr 300";"Society and War "
"P0260000";"P0234000";"Wirtschaftsgeschichtliche Aspekte des Krieges";"lkl=pfr 400";"Economy and War "
"P0261000";"P0234000";"Kulturgeschichtliche Aspekte des Krieges";"lkl=pfr 500";"Culture and War "
"P0262000";"P0234000";"Geschichte der europäischen Länder im Krieg";"lkl=pfr 600";"History of European Countries at War"
"P0263000";"P0262000";"Deutschland";"lkl=pfr 610 or lkl=pfr 615";"Germany"
"P0264000";"P0262000";"Schweiz";"lkl=pfr 616";"Switzerland"
