MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
40A05;40AXX;Convergence and divergence of series and sequences;msc=40A05
40A10;40AXX;Convergence and divergence of integrals;msc=40A10
40A15;40AXX;Convergence and divergence of continued fractions;msc=40A15
40A20;40AXX;Convergence and divergence of infinite products;msc=40A20
40A25;40AXX;Approximation to limiting values (summation of series, etc.);msc=40A25
40A30;40AXX;Convergence and divergence of series and sequences of functions;msc=40A30
40A99;40AXX;None of the above, but in this section;msc=40A99
40B05;40-XX;Multiple sequences and series;msc=40B05
40CXX;40-XX;General summability methods;msc=40C?
40C05;40CXX;Matrix methods;msc=40C05
40C10;40CXX;Integral methods;msc=40C10
40C15;40CXX;Function-theoretic methods (including power series methods and semicontinuous methods);msc=40C15
40C99;40CXX;None of the above, but in this section;msc=40C99
40DXX;40-XX;Direct theorems on summability;msc=40D?
40D05;40DXX;General theorems;msc=40D05
40D09;40DXX;Structure of summability fields;msc=40D09
40D10;40DXX;Tauberian constants and oscillation limits;msc=40D10
40D15;40DXX;Convergence factors and summability factors;msc=40D15
40D20;40DXX;Summability and bounded fields of methods;msc=40D20
40D25;40DXX;Inclusion and equivalence theorems;msc=40D25
40D99;40DXX;None of the above, but in this section;msc=40D99
40EXX;40-XX;Inversion theorems;msc=40E?
40E05;40EXX;Tauberian theorems, general;msc=40E05
40E10;40EXX;Growth estimates;msc=40E10
40E15;40EXX;Lacunary inversion theorems;msc=40E15
40E20;40EXX;Tauberian constants;msc=40E20
40E99;40EXX;None of the above, but in this section;msc=40E99
40F05;40-XX;Absolute and strong summability;msc=40F05
40GXX;40-XX;Special methods of summability;msc=40G?
40G05;40GXX;Cesàro, Euler, Nörlund and Hausdorff methods;msc=40G05
40G10;40GXX;Abel, Borel and power series methods;msc=40G10
40G99;40GXX;None of the above, but in this section;msc=40G99
40H05;40-XX;Functional analytic methods in summability;msc=40H05
40J05;40-XX;Summability in abstract structures;msc=40J05
41-XX;26XXX;Approximations and expansions;msc=41?
41-00;41-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=41-00
41-01;41-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=41-01
41-02;41-XX;Research exposition (monographs, survey articles);msc=41-02
41-03;41-XX;Historical;msc=41-03
41-04;41-XX;Explicit machine computation and programs;msc=41-04
41-06;41-XX;Proceedings, conferences, collections, etc.;msc=41-06
41A05;41-XX;Interpolation;msc=41A05
41A10;41-XX;Approximation by polynomials;msc=41A10
41A15;41-XX;Spline approximation;msc=41A15
41A17;41-XX;Inequalities in approximation (Bernstein, Jackson, Nikolcprime skiui-type inequalities);msc=41A17
41A20;41-XX;Approximation by rational functions;msc=41A20
41A21;41-XX;Padé approximation;msc=41A21
41A25;41-XX;Rate of convergence, degree of approximation;msc=41A25
41A27;41-XX;Inverse theorems;msc=41A27
41A28;41-XX;Simultaneous approximation;msc=41A28
41A29;41-XX;Approximation with constraints;msc=41A29
41A30;41-XX;Approximation by other special function classes;msc=41A30
41A35;41-XX;Approximation by operators (in particular, by integral operators);msc=41A35
41A36;41-XX;Approximation by positive operators;msc=41A36
41A40;41-XX;Saturation;msc=41A40
41A44;41-XX;Best constants;msc=41A44
41A45;41-XX;Approximation by arbitrary linear expressions;msc=41A45
41A46;41-XX;"Approximation by arbitrary nonlinear expressions; widths and entropy";msc=41A46
41A50;41-XX;Best approximation, Chebyshev systems;msc=41A50
41A52;41-XX;Uniqueness of best approximation;msc=41A52
41A55;41-XX;Approximate quadratures;msc=41A55
41A58;41-XX;Series expansions (e.g. Taylor, Lidstone series, but not Fourier series);msc=41A58
41A60;41-XX;Asymptotic approximations, asymptotic expansions (steepest descent, etc.);msc=41A60
41A63;41-XX;Multidimensional problems;msc=41A63
41A65;41-XX;Abstract approximation theory (approximation in normed linear spaces and other abstract spaces);msc=41A65
41A80;41-XX;Remainders in approximation formulas;msc=41A80
41A99;41-XX;Miscellaneous topics;msc=41A99
42-XX;26XXX;Fourier analysis;msc=42?
42-00;42-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=42-00
42-01;42-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=42-01
42-02;42-XX;Research exposition (monographs, survey articles);msc=42-02
42-03;42-XX;Historical;msc=42-03
42-04;42-XX;Explicit machine computation and programs;msc=42-04
42-06;42-XX;Proceedings, conferences, collections, etc.;msc=42-06
42AXX;42-XX;Fourier analysis in one variable;msc=42A?
42A05;42AXX;Trigonometric polynomials, inequalities, extremal problems;msc=42A05
42A10;42AXX;Trigonometric approximation;msc=42A10
42A15;42AXX;Trigonometric interpolation;msc=42A15
42A16;42AXX;Fourier coefficients, Fourier series of functions with special properties, special Fourier series;msc=42A16
42A20;42AXX;Convergence and absolute convergence of Fourier and trigonometric series;msc=42A20
42A24;42AXX;Summability and absolute summability of Fourier and trigonometric series;msc=42A24
42A32;42AXX;Trigonometric series of special types (positive coefficients, monotonic coefficients, etc.);msc=42A32
42A38;42AXX;Fourier and Fourier-Stieltjes transforms and other transforms of Fourier type;msc=42A38
42A45;42AXX;Multipliers;msc=42A45
42A50;42AXX;Conjugate functions, conjugate series, singular integrals;msc=42A50
42A55;42AXX;"Lacunary series of trigonometric and other functions; Riesz products";msc=42A55
42A61;42AXX;Probabilistic methods;msc=42A61
42A63;42AXX;Uniqueness of trigonometric expansions, uniqueness of Fourier expansions, Riemann theory, localization;msc=42A63
42A65;42AXX;Completeness of sets of functions;msc=42A65
42A70;42AXX;Trigonometric moment problems;msc=42A70
42A75;42AXX;Classical almost periodic functions, mean periodic functions;msc=42A75
42A82;42AXX;Positive definite functions;msc=42A82
42A85;42AXX;Convolution, factorization;msc=42A85
42A99;42AXX;None of the above, but in this section;msc=42A99
42BXX;42-XX;Fourier analysis in several variables;msc=42B?
42B05;42BXX;Fourier series and coefficients;msc=42B05
42B08;42BXX;Summability;msc=42B08
42B10;42BXX;Fourier and Fourier-Stieltjes transforms and other transforms of Fourier type;msc=42B10
42B15;42BXX;Multipliers;msc=42B15
42B20;42BXX;Singular integrals (Calderón-Zygmund, etc.);msc=42B20
42B25;42BXX;Maximal functions, Littlewood-Paley theory;msc=42B25
42B30;42BXX;Hp-spaces;msc=42B30
42B35;42BXX;Function spaces arising in harmonic analysis;msc=42B35
42B99;42BXX;None of the above, but in this section;msc=42B99
42CXX;42-XX;Nontrigonometric Fourier analysis;msc=42C?
42C05;42CXX;Orthogonal functions and polynomials, general theory;msc=42C05
42C10;42CXX;Fourier series in special orthogonal functions (Legendre polynomials, Walsh functions, etc.);msc=42C10
42C15;42CXX;Series of general orthogonal functions, generalized Fourier expansions, nonorthogonal expansions;msc=42C15
42C20;42CXX;Rearrangements and other transformations of Fourier and other orthogonal series;msc=42C20
42C25;42CXX;Uniqueness and localization for orthogonal series;msc=42C25
42C30;42CXX;Completeness of sets of functions;msc=42C30
42C40;42CXX;Wavelets;msc=42C40
42C99;42CXX;None of the above, but in this section;msc=42C99
43-XX;26XXX;Abstract harmonic analysis;msc=43?
43-00;43-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=43-00
43-01;43-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=43-01
43-02;43-XX;Research exposition (monographs, survey articles);msc=43-02
43-03;43-XX;Historical;msc=43-03
43-04;43-XX;Explicit machine computation and programs;msc=43-04
43-06;43-XX;Proceedings, conferences, collections, etc.;msc=43-06
43A05;43-XX;Measures on groups and semigroups, etc.;msc=43A05
43A07;43-XX;"Means on groups, semigroups, etc.; amenable groups";msc=43A07
43A10;43-XX;Measure algebras on groups, semigroups, etc.;msc=43A10
43A15;43-XX;Lp-spaces and other function spaces on groups, semigroups, etc.;msc=43A15
43A17;43-XX;Analysis on ordered groups, Hp-theory;msc=43A17
43A20;43-XX;L1-algebras on groups, semigroups, etc.;msc=43A20
43A22;43-XX;Homomorphisms and multipliers of function spaces on groups, semigroups, etc.;msc=43A22
43A25;43-XX;Fourier and Fourier-Stieltjes transforms on locally compact abelian groups;msc=43A25
43A30;43-XX;Fourier and Fourier-Stieltjes transforms on nonabelian groups and on semigroups, etc.;msc=43A30
43A32;43-XX;Other transforms and operators of Fourier type;msc=43A32
43A35;43-XX;Positive definite functions on groups, semigroups, etc.;msc=43A35
43A40;43-XX;Character groups and dual objects;msc=43A40
43A45;43-XX;Spectral synthesis on groups, semigroups, etc.;msc=43A45
43A46;43-XX;Special sets (thin sets, Kronecker sets, Helson sets, Ditkin sets, Sidon sets, etc.);msc=43A46
43A50;43-XX;Convergence of Fourier series and of inverse transforms;msc=43A50
43A55;43-XX;Summability methods on groups, semigroups, etc.;msc=43A55
43A60;43-XX;"Almost periodic functions on groups and semigroups and their generalizations (recurrent functions, distal functions, etc.); almost automorphic functions";msc=43A60
43A62;43-XX;Hypergroups;msc=43A62
43A65;43-XX;Representations of groups, semigroups, etc.;msc=43A65
43A70;43-XX;Analysis on specific locally compact abelian groups;msc=43A70
43A75;43-XX;Analysis on specific compact groups;msc=43A75
43A77;43-XX;Analysis on general compact groups;msc=43A77
43A80;43-XX;Analysis on other specific Lie groups;msc=43A80
43A85;43-XX;Analysis on homogeneous spaces;msc=43A85
43A90;43-XX;Spherical functions;msc=43A90
43A95;43-XX;Categorical methods;msc=43A95
43A99;43-XX;Miscellaneous topics;msc=43A99
44-XX;26XXX;Integral transforms, operational calculus;msc=44?
44-00;44-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=44-00
44-01;44-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=44-01
44-02;44-XX;Research exposition (monographs, survey articles);msc=44-02
44-03;44-XX;Historical;msc=44-03
44-04;44-XX;Explicit machine computation and programs;msc=44-04
44-06;44-XX;Proceedings, conferences, collections, etc.;msc=44-06
44A05;44-XX;General transforms;msc=44A05
44A10;44-XX;Laplace transform;msc=44A10
44A12;44-XX;Radon transform;msc=44A12
44A15;44-XX;Special transforms (Legendre, Hilbert, etc.);msc=44A15
44A20;44-XX;Transforms of special functions;msc=44A20
44A30;44-XX;Multiple transforms;msc=44A30
44A35;44-XX;Convolution;msc=44A35
44A45;44-XX;Classical operational calculus;msc=44A45
44A55;44-XX;Discrete operational calculus;msc=44A55
44A60;44-XX;Moment problems;msc=44A60
44A99;44-XX;Miscellaneous topics;msc=44A99
45-XX;26XXX;Integral equations;msc=45?
45-00;45-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=45-00
45-01;45-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=45-01
45-02;45-XX;Research exposition (monographs, survey articles);msc=45-02
45-03;45-XX;Historical;msc=45-03
45-04;45-XX;Explicit machine computation and programs;msc=45-04
45-06;45-XX;Proceedings, conferences, collections, etc.;msc=45-06
45A05;45-XX;Linear integral equations;msc=45A05
45B05;45-XX;Fredholm integral equations;msc=45B05
45C05;45-XX;Eigenvalue problems;msc=45C05
45D05;45-XX;Volterra integral equations;msc=45D05
45EXX;45-XX;Singular integral equations;msc=45E?
45E05;45EXX;Integral equations with kernels of Cauchy type;msc=45E05
45E10;45EXX;Integral equations of the convolution type (Abel, Picard, Toeplitz and Wiener-Hopf type);msc=45E10
45E99;45EXX;None of the above, but in this section;msc=45E99
45FXX;45-XX;Systems of linear integral equations;msc=45F?
45F05;45FXX;Systems of nonsingular linear integral equations;msc=45F05
45F10;45FXX;Dual, triple, etc., integral and series equations;msc=45F10
45F15;45FXX;Systems of singular linear integral equations;msc=45F15
45F99;45FXX;None of the above, but in this section;msc=45F99
45GXX;45-XX;Nonlinear integral equations;msc=45G?
45G05;45GXX;Singular nonlinear integral equations;msc=45G05
45G10;45GXX;Other nonlinear integral equations;msc=45G10
45G15;45GXX;Systems of nonlinear integral equations;msc=45G15
45H05;45-XX;Miscellaneous special kernels;msc=45H05
45J05;45-XX;Integro-ordinary differential equations;msc=45J05
45K05;45-XX;Integro-partial differential equations;msc=45K05
45L05;45-XX;Theoretical approximation of solutions;msc=45L05
45MXX;45-XX;Qualitative behavior;msc=45M?
45M05;45MXX;Asymptotics;msc=45M05
45M10;45MXX;Stability theory;msc=45M10
45M15;45MXX;Periodic solutions;msc=45M15
45M20;45MXX;Positive solutions;msc=45M20
45M99;45MXX;None of the above, but in this section;msc=45M99
45N05;45-XX;Abstract integral equations, integral equations in abstract spaces;msc=45N05
45P05;45-XX;Integral operators;msc=45P05
45Q05;45-XX;Inverse problems;msc=45Q05
45R05;45-XX;Random integral equations;msc=45R05
46-XX;26XXX;Functional analysis;msc=46?
46-00;46-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=46-00
46-01;46-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=46-01
46-02;46-XX;Research exposition (monographs, survey articles);msc=46-02
46-03;46-XX;Historical;msc=46-03
46-04;46-XX;Explicit machine computation and programs;msc=46-04
46-06;46-XX;Proceedings, conferences, collections, etc.;msc=46-06
46AXX;46-XX;Topological linear spaces and related structures;msc=46A?
46A03;46AXX;General theory of locally convex spaces;msc=46A03
46A04;46AXX;Locally convex Fréchet spaces and (DF)-spaces;msc=46A04
46A08;46AXX;Barrelled spaces, bornological spaces;msc=46A08
46A11;46AXX;Spaces determined by compactness or summability properties (nuclear spaces, Schwartz spaces, Montel spaces, etc.);msc=46A11
46A13;46AXX;Spaces defined by inductive or projective limits (LB, LF, etc.);msc=46A13
46A16;46AXX;Not locally convex spaces (metrizable topological linear spaces, locally bounded spaces, quasi-Banach spaces, etc.);msc=46A16
46A17;46AXX;"Bornologies and related structures; Mackey convergence, etc.";msc=46A17
46A19;46AXX;Other topological linear spaces (convergence spaces, ranked spaces, spaces with a metric taking values in an ordered structure more general than R, etc.);msc=46A19
46A20;46AXX;Duality theory;msc=46A20
46A22;46AXX;"Theorems of Hahn-Banach type; extension and lifting of functionals and operators";msc=46A22
46A25;46AXX;Reflexivity and semi-reflexivity;msc=46A25
46A30;46AXX;"Open mapping and closed graph theorems; completeness (including B-, Br-completeness)";msc=46A30
46A32;46AXX;"Spaces of linear operators; topological tensor products; approximation properties";msc=46A32
46A35;46AXX;Summability and bases;msc=46A35
46A40;46AXX;Ordered topological linear spaces, vector lattices;msc=46A40
46A45;46AXX;Sequence spaces (including Köthe sequence spaces);msc=46A45
46A50;46AXX;"Compactness in topological linear spaces; angelic spaces, etc.";msc=46A50
46A55;46AXX;"Convex sets in topological linear spaces; Choquet theory";msc=46A55
46A63;46AXX;Topological invariants ((DN), (Ω), etc.);msc=46A63
46A70;46AXX;Saks spaces and their duals (strict topologies, mixed topologies, two-norm spaces, co-Saks spaces, etc.);msc=46A70
46A80;46AXX;Modular spaces;msc=46A80
46A99;46AXX;None of the above, but in this section;msc=46A99
46BXX;46-XX;"Normed linear spaces and Banach spaces; Banach lattices";msc=46B?
46B03;46BXX;Isomorphic theory (including renorming) of Banach spaces;msc=46B03
46B04;46BXX;Isometric theory of Banach spaces;msc=46B04
46B07;46BXX;Local theory of Banach spaces;msc=46B07
46B08;46BXX;Ultraproduct techniques in Banach space theory;msc=46B08
46B09;46BXX;Probabilistic methods in Banach space theory;msc=46B09
46B10;46BXX;Duality and reflexivity;msc=46B10
46B15;46BXX;Summability and bases;msc=46B15
46B20;46BXX;Geometry and structure of normed linear spaces;msc=46B20
46B22;46BXX;Radon-Nikodym, Krein-Milman and related properties;msc=46B22
46B25;46BXX;Classical Banach spaces in the general theory;msc=46B25
46B26;46BXX;Nonseparable Banach spaces;msc=46B26
46B28;46BXX;"Spaces of operators; tensor products; approximation properties";msc=46B28
46B40;46BXX;Ordered normed spaces;msc=46B40
46B42;46BXX;Banach lattices;msc=46B42
46B45;46BXX;Banach sequence spaces;msc=46B45
46B50;46BXX;Compactness in Banach (or normed) spaces;msc=46B50
46B70;46BXX;Interpolation between normed linear spaces;msc=46B70
46B99;46BXX;None of the above, but in this section;msc=46B99
46CXX;46-XX;Inner product spaces and their generalizations, Hilbert spaces;msc=46C?
46C05;46CXX;Hilbert and pre-Hilbert spaces: geometry and topology (including spaces with semidefinite inner product);msc=46C05
46C07;46CXX;"Hilbert subspaces (= operator ranges); complementation (Aronszajn, de Branges, etc.)";msc=46C07
46C15;46CXX;Characterizations of Hilbert spaces;msc=46C15
46C20;46CXX;Spaces with indefinite inner product (Krein spaces, Pontryagin spaces, etc.);msc=46C20
46C50;46CXX;Generalizations of inner products (semi-inner products, partial inner products, etc.);msc=46C50
46C99;46CXX;None of the above, but in this section;msc=46C99
46EXX;46-XX;Linear function spaces and their duals;msc=46E?
46E05;46EXX;Lattices of continuous, differentiable or analytic functions;msc=46E05
46E10;46EXX;Topological linear spaces of continuous, differentiable or analytic functions;msc=46E10
46E15;46EXX;Banach spaces of continuous, differentiable or analytic functions;msc=46E15
46E20;46EXX;Hilbert spaces of continuous, differentiable or analytic functions;msc=46E20
46E22;46EXX;Hilbert spaces with reproducing kernels (=;msc=46E22
46E25;46EXX;Rings and algebras of continuous, differentiable or analytic functions;msc=46E25
46E27;46EXX;Spaces of measures;msc=46E27
46E30;46EXX;Spaces of measurable functions (Lp-spaces, Orlicz spaces, Köthe function spaces, Lorentz spaces, rearrangement invariant spaces, ideal spaces, etc.);msc=46E30
46E35;46EXX;Sobolev spaces and other spaces of smooth functions, embedding theorems, trace theorems;msc=46E35
46E39;46EXX;Sobolev (and similar kinds of) spaces of functions of discrete variables;msc=46E39
46E40;46EXX;Spaces of vector- and operator-valued functions;msc=46E40
46E50;46EXX;Spaces of differentiable or holomorphic functions on infinite-dimensional spaces;msc=46E50
46E99;46EXX;None of the above, but in this section;msc=46E99
46FXX;46-XX;Distributions, generalized functions, distribution spaces;msc=46F?
46F05;46FXX;Topological linear spaces of test functions, distributions and ultradistributions;msc=46F05
46F10;46FXX;Operations with distributions;msc=46F10
46F12;46FXX;Integral transforms in distribution spaces;msc=46F12
46F15;46FXX;Hyperfunctions, analytic functionals;msc=46F15
46F20;46FXX;Distributions and ultradistributions as boundary values of analytic functions;msc=46F20
46F25;46FXX;Distributions on infinite-dimensional spaces;msc=46F25
46F30;46FXX;Generalized functions for nonlinear analysis (Rosinger, Colombeau, nonstandard, etc.);msc=46F30
46F99;46FXX;None of the above, but in this section;msc=46F99
46GXX;46-XX;Measures, integration, derivative, holomorphy (all involving infinite-dimensional spaces);msc=46G?
46G05;46GXX;Derivatives;msc=46G05
46G10;46GXX;Vector-valued measures and integration;msc=46G10
46G12;46GXX;Measures and integration on abstract linear spaces;msc=46G12
46G15;46GXX;Functional analytic lifting theory;msc=46G15
46G20;46GXX;Infinite-dimensional holomorphy;msc=46G20
46G25;46GXX;(Spaces of) multilinear mappings, polynomials;msc=46G25
46G99;46GXX;None of the above, but in this section;msc=46G99
46HXX;46-XX;Topological algebras, normed rings and algebras, Banach algebras;msc=46H?
46H05;46HXX;General theory of topological algebras;msc=46H05
46H10;46HXX;Ideals and subalgebras;msc=46H10
46H15;46HXX;Representations of topological algebras;msc=46H15
46H20;46HXX;Structure, classification of topological algebras;msc=46H20
46H25;46HXX;Normed modules and Banach modules, topological modules;msc=46H25
46H30;46HXX;Functional calculus in topological algebras;msc=46H30
46H35;46HXX;Topological algebras of operators;msc=46H35
46H40;46HXX;Automatic continuity;msc=46H40
46H70;46HXX;Nonassociative topological algebras;msc=46H70
46H99;46HXX;None of the above, but in this section;msc=46H99
46JXX;46-XX;Commutative Banach algebras and commutative topological algebras;msc=46J?
46J05;46JXX;General theory of commutative topological algebras;msc=46J05
46J10;46JXX;Banach algebras of continuous functions, function algebras;msc=46J10
46J15;46JXX;Banach algebras of differentiable or analytic functions, Hp-spaces;msc=46J15
46J20;46JXX;Ideals, maximal ideals, boundaries;msc=46J20
46J25;46JXX;Representations of commutative topological algebras;msc=46J25
46J30;46JXX;Subalgebras;msc=46J30
46J40;46JXX;Structure, classification of commutative topological algebras;msc=46J40
46J45;46JXX;Radical Banach algebras;msc=46J45
46J99;46JXX;None of the above, but in this section;msc=46J99
46KXX;46-XX;Topological (rings and) algebras with an involution;msc=46K?
46K05;46KXX;General theory of topological algebras with involution;msc=46K05
46K10;46KXX;Representations of topological algebras with involution;msc=46K10
46K15;46KXX;Hilbert algebras;msc=46K15
46K50;46KXX;Nonselfadjoint (sub)algebras in algebras with involution;msc=46K50
46K70;46KXX;Nonassociative topological algebras with an involution;msc=46K70
46K99;46KXX;None of the above, but in this section;msc=46K99
46LXX;46-XX;Selfadjoint operator algebras (C*-algebras, von Neumann (W*-) algebras, etc.);msc=46L?
46L05;46LXX;General theory of C*-algebras;msc=46L05
46L06;46LXX;Tensor products of C*-algebras;msc=46L06
46L07;46LXX;Operator spaces and completely bounded maps;msc=46L07
46L08;46LXX;C*-modules;msc=46L08
46L09;46LXX;Free products of C*-algebras;msc=46L09
46L10;46LXX;General theory of von Neumann algebras;msc=46L10
46L30;46LXX;States;msc=46L30
46L35;46LXX;Classifications of C*-algebras, factors;msc=46L35
46L37;46LXX;Subfactors and their classification;msc=46L37
46L40;46LXX;Automorphisms;msc=46L40
46L45;46LXX;Decomposition theory for C*-algebras;msc=46L45
46L51;46LXX;Noncommutative measure and integration;msc=46L51
46L52;46LXX;Noncommutative function spaces;msc=46L52
46L53;46LXX;Noncommutative probability and statistics;msc=46L53
46L54;46LXX;Free probability and free operator algebras;msc=46L54
46L55;46LXX;Noncommutative dynamical systems;msc=46L55
46L57;46LXX;Derivations, dissipations and positive semigroups in C*-algebras;msc=46L57
46L60;46LXX;Applications of selfadjoint operator algebras to physics;msc=46L60
46L65;46LXX;Quantizations, deformations;msc=46L65
46L70;46LXX;Nonassociative selfadjoint operator algebras;msc=46L70
46L80;46LXX;K-theory and operator algebras (including cyclic theory);msc=46L80
46L85;46LXX;Noncommutative topology;msc=46L85
46L87;46LXX;Noncommutative differential geometry;msc=46L87
46L89;46LXX;Other noncommutative mathematics based on C*-algebra theory;msc=46L89
46L99;46LXX;None of the above, but in this section;msc=46L99
46MXX;46-XX;Methods of category theory in functional analysis;msc=46M?
46M05;46MXX;Tensor products;msc=46M05
46M07;46MXX;Ultraproducts;msc=46M07
46M10;46MXX;Projective and injective objects;msc=46M10
46M15;46MXX;Categories, functors;msc=46M15
46M18;46MXX;Homological methods (exact sequences, right inverses, lifting, etc.);msc=46M18
46M20;46MXX;Methods of algebraic topology (cohomology, sheaf and bundle theory, etc.);msc=46M20
46M35;46MXX;Abstract interpolation of topological vector spaces;msc=46M35
46M40;46MXX;Inductive and projective limits;msc=46M40
46M99;46MXX;None of the above, but in this section;msc=46M99
46NXX;46-XX;Miscellaneous applications of functional analysis;msc=46N?
46N10;46NXX;Applications in optimization, convex analysis, mathematical programming, economics;msc=46N10
46N20;46NXX;Applications to differential and integral equations;msc=46N20
46N30;46NXX;Applications in probability theory and statistics;msc=46N30
46N40;46NXX;Applications in numerical analysis;msc=46N40
46N50;46NXX;Applications in quantum physics;msc=46N50
46N55;46NXX;Applications in statistical physics;msc=46N55
46N60;46NXX;Applications in biology and other sciences;msc=46N60
46N99;46NXX;None of the above, but in this section;msc=46N99
46SXX;46-XX;Other (nonclassical) types of functional analysis;msc=46S?
46S10;46SXX;"Functional analysis over fields other than R or C or the quaternions; non-Archimedean functional analysis";msc=46S10
46S20;46SXX;Nonstandard functional analysis;msc=46S20
46S30;46SXX;Constructive functional analysis;msc=46S30
46S40;46SXX;Fuzzy functional analysis;msc=46S40
46S50;46SXX;Functional analysis in probabilistic metric linear spaces;msc=46S50
46S60;46SXX;Functional analysis on superspaces (supermanifolds) or graded spaces;msc=46S60
46S99;46SXX;None of the above, but in this section;msc=46S99
46TXX;46-XX;Nonlinear functional analysis;msc=46T?
46T05;46TXX;Infinite-dimensional manifolds;msc=46T05
46T10;46TXX;Manifolds of mappings;msc=46T10
46T12;46TXX;Measure (Gaussian, cylindrical, etc.) and integrals (Feynman, path, Fresnel, etc.) on manifolds;msc=46T12
46T20;46TXX;Continuous and differentiable maps;msc=46T20
46T25;46TXX;Holomorphic maps;msc=46T25
46T30;46TXX;Distributions and generalized functions on nonlinear spaces;msc=46T30
46T99;46TXX;None of the above, but in this section;msc=46T99
47-XX;26XXX;Operator theory;msc=47?
47-00;47-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=47-00
47-01;47-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=47-01
47-02;47-XX;Research exposition (monographs, survey articles);msc=47-02
47-03;47-XX;Historical;msc=47-03
47-04;47-XX;Explicit machine computation and programs;msc=47-04
47-06;47-XX;Proceedings, conferences, collections, etc.;msc=47-06
47AXX;47-XX;General theory of linear operators;msc=47A?
47A05;47AXX;General (adjoints, conjugates, products, inverses, domains, ranges, etc.);msc=47A05
47A06;47AXX;Linear relations (multivalued linear operators);msc=47A06
47A07;47AXX;Forms (bilinear, sesquilinear, multilinear);msc=47A07
47A10;47AXX;Spectrum, resolvent;msc=47A10
47A11;47AXX;Local spectral properties;msc=47A11
47A12;47AXX;Numerical range, numerical radius;msc=47A12
47A13;47AXX;Several-variable operator theory (spectral, Fredholm, etc.);msc=47A13
47A15;47AXX;Invariant subspaces;msc=47A15
47A16;47AXX;Cyclic and hypercyclic vectors;msc=47A16
47A20;47AXX;Dilations, extensions, compressions;msc=47A20
47A25;47AXX;Spectral sets;msc=47A25
47A30;47AXX;Norms (inequalities, more than one norm, etc.);msc=47A30
47A35;47AXX;Ergodic theory;msc=47A35
47A40;47AXX;Scattering theory;msc=47A40
47A45;47AXX;Canonical models for contractions and nonselfadjoint operators;msc=47A45
47A46;47AXX;Chains (nests) of projections or of invariant subspaces, integrals along chains, etc.;msc=47A46
47A48;47AXX;Operator colligations (= nodes), vessels, linear systems, characteristic functions, realizations, etc.;msc=47A48
47A50;47AXX;Equations and inequalities involving linear operators, with vector unknowns;msc=47A50
47A52;47AXX;Ill-posed problems, regularization;msc=47A52
47A53;47AXX;"(Semi-) Fredholm operators; index theories";msc=47A53
47A55;47AXX;Perturbation theory;msc=47A55
47A56;47AXX;Functions whose values are linear operators (operator and matrix valued functions, etc., including analytic and meromorphic ones);msc=47A56
47A57;47AXX;Operator methods in interpolation, moment and extension problems;msc=47A57
47A58;47AXX;Operator approximation theory;msc=47A58
47A60;47AXX;Functional calculus;msc=47A60
47A62;47AXX;Equations involving linear operators, with operator unknowns;msc=47A62
47A63;47AXX;Operator inequalities;msc=47A63
47A64;47AXX;Operator means, shorted operators, etc.;msc=47A64
47A65;47AXX;Structure theory;msc=47A65
47A66;47AXX;Quasitriangular and nonquasitriangular, quasidiagonal and nonquasidiagonal operators;msc=47A66
47A67;47AXX;Representation theory;msc=47A67
47A68;47AXX;Factorization theory (including Wiener-Hopf and spectral factorizations);msc=47A68
47A70;47AXX;"(Generalized) eigenfunction expansions; rigged Hilbert spaces";msc=47A70
47A75;47AXX;Eigenvalue problems;msc=47A75
47A80;47AXX;Tensor products of operators;msc=47A80
47A99;47AXX;None of the above, but in this section;msc=47A99
47BXX;47-XX;Special classes of linear operators;msc=47B?
47B06;47BXX;"Riesz operators; eigenvalue distributions; approximation numbers, s-numbers, Kolmogorov numbers, entropy numbers, etc. of operators";msc=47B06
47B07;47BXX;Operators defined by compactness properties;msc=47B07
47B10;47BXX;Operators belonging to operator ideals (nuclear, p-summing, in the Schatten-von Neumann classes, etc.);msc=47B10
47B15;47BXX;Hermitian and normal operators (spectral measures, functional calculus, etc.);msc=47B15
47B20;47BXX;Subnormal operators, hyponormal operators, etc.;msc=47B20
47B25;47BXX;Symmetric and selfadjoint operators (unbounded);msc=47B25
47B32;47BXX;Operators in reproducing-kernel Hilbert spaces (including de Branges, de Branges-Rovnyak, and other structured spaces);msc=47B32
47B33;47BXX;Composition operators;msc=47B33
47B34;47BXX;Kernel operators;msc=47B34
